env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
44500,,,,,,50,50,29,50.4426,100.6763,55.2204,-44.1823,66.9747,223.7457,44.718,1052.0278,8.6349
44567,,,329,-239.5786,70.5748,,,,,,,,,,,,
44769,,,202,-165.0939,69.5072,,,,,,,,,,,,
44794,,,25,-27.2644,70.0381,,,,,,,,,,,,
45000,,,,,,50,50,29,51.5391,100.3354,55.3648,-44.1823,70.3035,225.6719,58.5959,1858.7472,9.1186
45000,-72.779,370.2,,,,,,,,,,,,,,,
45500,,,,,,50,50,29,54.0895,98.5776,55.8938,-44.1823,82.8341,230.2975,40.7748,1498.8815,9.5433
45794,,,1000,-1166.1364,61.1053,,,,,,,,,,,,
45816,,,22,-15.8175,69.729,,,,,,,,,,,,
46000,,,,,,50,50,29,51.998,98.9481,56.47,-44.1823,68.2808,228.3338,48.5381,1689.3722,9.1113
46010,,,194,-146.7104,69.6845,,,,,,,,,,,,
46038,,,28,-24.677,69.6267,,,,,,,,,,,,
46500,,,,,,50,50,29,51.4017,100.1392,54.5262,-44.1823,70.5737,237.9772,37.9975,1220.0851,9.3972
46503,,,465,-455.0014,70.1558,,,,,,,,,,,,
47000,,,,,,50,50,29,49.4891,101.2111,55.7032,-44.1823,77.2433,208.3971,39.7589,1141.8376,8.4507
47500,,,,,,50,50,29,50.7689,100.0519,55.6015,-44.1823,85.1414,223.5626,47.1766,1539.3981,8.6545
47503,,,1000,-1085.9209,71.0622,,,,,,,,,,,,
47530,,,27,-35.4574,69.7543,,,,,,,,,,,,
